,lon,lat,year,month,tas,tasmax,pr
451,12.0,44.0,2001,7,21.375,28.300001,54.6
452,12.0,45.0,2001,7,23.85,29.5,75.575
453,12.0,46.0,2001,7,16.45,27.1,164.075
454,12.0,47.0,2001,7,11.625,19.300001,139.975
455,12.0,48.0,2001,7,17.800001,24.800001,68.825
456,12.0,49.0,2001,7,18.475,24.7,56.275
457,12.0,50.0,2001,7,17.55,24.0,80.35
458,12.0,51.0,2001,7,18.725,25.300001,76.425
459,12.0,52.0,2001,7,19.525002,25.0,62.4
460,13.0,33.0,2001,7,28.7,33.600002,0.0
461,13.0,34.0,2001,7,,,
462,13.0,35.0,2001,7,28.6,33.600002,0.0
463,13.0,36.0,2001,7,28.300001,33.2,0.0
464,13.0,37.0,2001,7,27.2,31.7,0.0
465,13.0,38.0,2001,7,25.9,31.0,0.125
466,13.0,39.0,2001,7,26.9,31.300001,0.0
467,13.0,40.0,2001,7,,,
468,13.0,41.0,2001,7,25.55,30.9,8.775
469,13.0,42.0,2001,7,23.0,31.0,19.275002
470,13.0,43.0,2001,7,21.0,28.1,28.9
471,13.0,44.0,2001,7,23.5,30.1,36.066666
472,13.0,45.0,2001,7,24.1,29.9,87.9
473,13.0,46.0,2001,7,21.05,29.5,111.725006
474,13.0,47.0,2001,7,11.7,16.5,130.05
475,13.0,48.0,2001,7,17.225,24.9,104.15
476,13.0,49.0,2001,7,17.900002,24.9,80.5
477,13.0,50.0,2001,7,17.7,24.300001,86.15
478,13.0,51.0,2001,7,18.975,25.4,83.925
479,13.0,52.0,2001,7,19.825,25.6,65.725
480,14.0,33.0,2001,7,28.0,33.100002,0.0
481,14.0,34.0,2001,7,,,
482,14.0,35.0,2001,7,,,
483,14.0,36.0,2001,7,27.400002,31.800001,0.0
484,14.0,37.0,2001,7,26.633333,31.5,0.23333333
485,14.0,38.0,2001,7,25.675,31.1,0.22500001
486,14.0,39.0,2001,7,26.2,30.4,0.5
487,14.0,40.0,2001,7,,,
488,14.0,41.0,2001,7,24.6,30.300001,16.2
489,14.0,42.0,2001,7,22.25,30.4,21.875
490,14.0,43.0,2001,7,23.766666,30.1,21.433334
491,14.0,44.0,2001,7,24.4,29.800001,22.9
492,14.0,45.0,2001,7,22.8,29.0,36.075
493,14.0,46.0,2001,7,17.9,27.7,100.350006
494,14.0,47.0,2001,7,14.55,24.1,127.350006
495,14.0,48.0,2001,7,17.425001,25.9,105.825005
496,14.0,49.0,2001,7,17.675,24.5,88.85
497,14.0,50.0,2001,7,18.55,25.5,103.175
498,14.0,51.0,2001,7,19.150002,25.4,109.25
499,14.0,52.0,2001,7,20.075,25.800001,69.475006
500,15.0,33.0,2001,7,,,
501,15.0,34.0,2001,7,,,
502,15.0,35.0,2001,7,,,
503,15.0,36.0,2001,7,27.300001,31.4,0.0
504,15.0,37.0,2001,7,26.475,30.7,1.0
505,15.0,38.0,2001,7,25.45,30.0,2.425
506,15.0,39.0,2001,7,26.25,30.6,1.0
507,15.0,40.0,2001,7,24.933334,30.5,9.400001
508,15.0,41.0,2001,7,23.1,28.7,19.900002
509,15.0,42.0,2001,7,24.8,30.4,16.775002
510,15.0,43.0,2001,7,,,
511,15.0,44.0,2001,7,23.2,29.300001,24.366667
512,15.0,45.0,2001,7,19.325,27.300001,38.05
513,15.0,46.0,2001,7,19.150002,25.4,72.075005
514,15.0,47.0,2001,7,17.0,25.300001,83.850006
515,15.0,48.0,2001,7,17.5,25.1,94.95
516,15.0,49.0,2001,7,18.45,25.0,85.100006
